Number,Name,Calories,Proteins,Carbs,Fats
01087,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",41,4,5.6,0.3
01088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.3,4.8,0.9
01089,"MILK,LOW SODIUM,FLUID",61,3.1,4.5,3.5
01090,"MILK,DRY,WHOLE",496,26.3,38.4,26.7
01091,"MILK,DRY,NONFAT,REG,WO/ VIT A",362,36.2,52,0.8
01092,"MILK,DRY,NONFAT,INST,W/ VIT A",358,35.1,52.2,0.7
01093,"MILK,DRY,NONFAT,CA RED",354,35.5,51.8,0.2
01094,"MILK,BUTTERMILK,DRIED",387,34.3,49,5.8
01095,"MILK,CND,COND,SWTND",321,7.9,54.4,8.7
01096,"MILK,CND,EVAP,WO/ VIT A",134,6.8,10,7.6
01097,"MILK,CND,EVAP,NONFAT",78,7.6,11.4,0.2
01102,"MILK,CHOC,FLUID,COMM,",83,3.2,10.3,3.4
01103,"MILK,CHOC,FLUID,COMM,RED FAT",72,3.2,10.4,2
01104,"MILK,CHOC,FLUID,COMM,LOWFAT",63,3.2,10.4,1
01105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77,3.5,10.6,2.3
01106,"MILK,GOAT,FLUID",69,3.6,4.4,4.1
01107,"MILK,HUMAN,MATURE,FLUID",70,1,6.9,4.4
01108,"MILK,INDIAN BUFFALO,FLUID",97,3.8,5.2,6.9
01109,"MILK,SHEEP,FLUID",108,6,5.4,7
01110,"MILK SHAKES,THICK CHOC",119,3,21.1,2.7
01111,"MILK SHAKES,THICK VANILLA",112,3.9,17.8,3
01112,"WHEY,ACID,FLUID",24,0.8,5.1,0.1
01113,"WHEY,ACID,DRIED",339,11.7,73.4,0.5
01114,"WHEY,SWEET,FLUID",27,0.9,5.1,0.4
01115,"WHEY,SWEET,DRIED",353,12.9,74.5,1.1
01116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61,3.5,4.7,3.3
01117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63,5.3,7,1.5
01118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56,5.7,7.7,0.2
01119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85,4.9,13.8,1.3
01120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99,4,18.6,1.1
01121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102,4.4,19,1.1
01122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105,4.9,18.6,1.4
01123,"EGG,WHOLE,RAW,FRESH",147,12.6,0.8,9.9
01124,"EGG,WHITE,RAW,FRSH",52,10.9,0.7,0.2
01125,"EGG,YOLK,RAW,FRSH",322,15.9,3.6,26.5
01126,"EGG,YOLK,RAW,FROZEN",303,15.5,1.1,25.6
01127,"EGG,YOLK,RAW,FRZ,SUGARED",307,13.8,10.8,22.8
01128,"EGG,WHL,CKD,FRIED",201,13.6,0.9,15.3
01129,"EGG,WHL,CKD,HARD-BOILED",155,12.6,1.1,10.6
